date,description,link,category
1/18/2019,Rada Mihalcea wins Sarah Goddard Power Award for her significant contributions to the betterment of women,http://eecs.umich.edu/eecs/about/articles/2019/mihalcea-goddard-power.html,Girls Encoded
1/14/2019,Upcoming Women in Computing Seminar: Claire Cardie,http://cse.umich.edu/eecs/etc/events/showevent.cgi?4991,Girls Encoded
10/8/2018,A champion for women in computer science: Rada Mihalcea wins 2018 Carol Hollenshead Award,http://eecs.umich.edu/eecs/about/articles/2018/mihalcea-cew.html,Girls Encoded
9/23/2018,Upcoming Women in Computing Seminar: Thamar Solorio,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?4859,Girls Encoded
9/14/2018,"In the News: Introductory EECS course designed for women, those without prior experience embarks on first semester (The Michigan Daily)",https://www.michigandaily.com/section/academics/introductory-eecs-198-course-designed-women-and-others-without-prior-experience,Girls Encoded
8/24/2018,Google award to introduce women to computer science research,http://eecs.umich.edu/eecs/about/articles/2018/mihalcea-googlecsr.html,Girls Encoded
7/11/2018,New one-credit course allows those without experience to discover computer science,https://www.eecs.umich.edu/eecs/about/articles/2018/discover-computer-science.html,Girls Encoded
4/5/2018,"Women in Computing Seminar: Timnit Gebru, “Visual Computational Sociology: Methods and Challenges”",https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?4724,Girls Encoded
3/29/2018,In the news: “Girls Encoded hosts panel to connect students with successful women in CS”,https://www.eecs.umich.edu/eecs/about/articles/2018/girls-encoded-panel.html,Girls Encoded
3/29/2018,"Women in Computing Seminar: Telle Whitney, “Technology, Innovation and Diversity: Women and men creating technology together, and defining our future” (William Gould Dow Distinguished Lecture Series)",https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?4691,Girls Encoded
2/22/2018,Save the Date: “Sharing Perspectives” - a panel discussion with women in the computing industry,panel.html,Girls Encoded
1/9/2018,Video recording of lightning talks by women computer scientists available,https://www.youtube.com/watch?v=dXR411KxZqk,Girls Encoded
1/9/2018,Video recording of Enchantress (Ada Lovelace Opera) available,https://www.youtube.com/watch?v=Cng1ruIWG1E,Girls Encoded
11/21/2017,In the news: “Ada Lovelace Opera and Lightning Talks Highlight Women's Contributions to Computing”,https://www.eecs.umich.edu/eecs/about/articles/2017/Ada-Lovelace-Opera.html,Girls Encoded
11/21/2017,View pictures from the Ada Lovelace Opera,https://www.flickr.com/photos/michigan-engineering/sets/72157662715863798/with/38419295346/,Girls Encoded
10/18/2017,"Pre-register for Ada Lovelace Opera (Nov. 16, 2017)",lovelace.html,Girls Encoded
10/11/2017,Women in Computing Seminar: Ceren Budak,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?4491,Girls Encoded
8/16/2017,Save the Date: Upcoming Ada Lovelace Opera,lovelace.html,Girls Encoded
7/6/2017,New corporate sponsorship opportunities available,files/sponsorship.pdf,Girls Encoded
6/12/2017,Women in Computing Seminar: Ece Kamar,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?4333,Girls Encoded
5/23/2017,An update on our latest Influence Panel: “Industry Support for Women in Computing”,http://bec.umich.edu/success-stories/industry-support-for-women-in-computing/,Girls Encoded
4/12/2017,Upcoming Event: Influence Panel - “Women in Computing: There Are No Limits!”,files/influencePanel.pdf,Girls Encoded
2/24/2017,Girls Encoded is sponsoring new student-led initiatives to recruit and retain women and minorities in computer science,ideas.html,Girls Encoded
2/21/2017,Women in Computing Seminar: Yejin Choi,http://eecs.umich.edu/eecs/etc/events/showevent.cgi?4226,Girls Encoded
2/10/2017,Women in Computing Seminar: R. Iris Bahar,http://eecs.umich.edu/eecs/etc/events/showevent.cgi?4210,Girls Encoded
12/22/2016,CALL FOR IDEAS: Offering funding for initiatives to recruit or retain women and minorities in computer science,callforideas/callforideas2017.pdf,Girls Encoded
9/12/2016,CS KickStart Gives Incoming Freshmen an Introduction to Computer Science,http://www.eecs.umich.edu/eecs/about/articles/2016/CS_KickStart.html,"LIT, Girls Encoded"
9/5/2016,Upcoming Event: Lunch with JPMorgan Chase,events.html,Girls Encoded
8/8/2016,CS KickStart begins in less than a month!,http://cskickstart.eecs.umich.edu/,Girls Encoded
6/30/2016,A Woman’s History of Silicon Valley,https://backchannel.com/a-womens-history-of-silicon-valley-feea9279d88a#.9setaklip,Girls Encoded
6/20/2016,Women in Computing Seminar: Maja Matarić,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?3937,Girls Encoded
4/26/2016,Girls Encoded motivates students to study CS,http://www.eecs.umich.edu/eecs/about/articles/2016/Girls-Encoded.html,"LIT, Girls Encoded"
2/15/2016,Women in Computing Seminar: Mary Lou Soffa,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?3820,Girls Encoded
3/23/2015,Women in Computing Seminar: Rosalind Picard,https://www.eecs.umich.edu/eecs/etc/events/showevent.cgi?3216,Girls Encoded
